ID,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
546,ASUS,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,0,No,No,57990,70990,18,0,0,0
547,HP,OMEN,Intel,Core i7,11th,16,DDR4,1024,0,Windows,64,8,Casual,16.1,1,No,Yes,171990,197862,13,0,0,0
548,ASUS,Core,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,42990,50990,15,4.4,1869,234
549,Smartron,t.book,Intel,Core i5,7th,4,DDR3,128,0,Windows,64,0,Casual,12.2,0,Yes,No,52990,55999,5,3.5,30,9
555,HP,HP,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,2,Casual,13.3,1,Yes,Yes,76990,99203,22,4.4,14,2
558,DELL,Inspiron,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,2,Casual,15.6,0,No,No,66490,88519,24,3.8,6,1
561,Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,15.6,2,No,Yes,62998,79890,21,4.3,739,71
562,ASUS,Core,Intel,Core i3,11th,8,DDR4,256,0,Windows,32,0,Casual,15.6,0,No,No,41990,52990,20,0,0,0
563,DELL,Inspiron,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,Casual,14,1,Yes,Yes,77990,98200,20,4.5,31,5
565,MICROSOFT,Surface,Intel,Core i5,8th,8,DDR3,128,0,Windows,64,0,Casual,13.5,0,Yes,No,91999,0,0,4.5,49,8
567,Lenovo,Ideapad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,15.6,2,No,Yes,39999,59999,33,0,0,0
568,HP,Spectre,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,Casual,13.3,1,Yes,Yes,114990,122803,6,4.4,145,19
572,DELL,DELL,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,2,Casual,15.6,1,No,Yes,65990,75800,12,0,0,0
573,DELL,Inspiron,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,2,Casual,14,1,No,Yes,88990,90605,1,3.8,19,2
574,DELL,Inspiron,Intel,Core i7,11th,16,DDR4,1024,0,Windows,64,2,Casual,15.6,1,No,Yes,93955,122300,23,4.8,4,0
576,LG,Gram,Intel,Core i5,10th,8,DDR4,256,0,Windows,64,0,Casual,14,0,No,No,62990,99000,36,4.6,68,20
577,ASUS,ROG,Intel,Core i7,10th,32,DDR4,1024,0,Windows,64,8,Casual,15.6,0,No,No,234990,324990,27,0,0,0
578,DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64,0,ThinNlight,14,1,No,Yes,43590,57863,24,0,0,0
579,ASUS,Commercial,Intel,Core i3,10th,4,DDR4,256,0,Windows,32,0,Casual,14,0,No,No,39990,47990,16,0,0,0
580,HP,Spectre,Intel,Core i7,11th,16,LPDDR4X,1024,0,Windows,64,0,Casual,13.3,1,Yes,Yes,128500,152042,15,3.7,3,1
581,Lenovo,X390,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,Casual,13.3,0,No,No,113590,120000,5,0,0,0
582,DELL,Vostro,Intel,Core i3,10th,4,DDR4,256,1024,Windows,64,0,ThinNlight,14,1,No,Yes,41390,51976,20,4.2,56,7
583,ASUS,Core,Intel,Core i3,10th,8,DDR4,0,1024,Windows,32,0,ThinNlight,14,0,No,No,35590,45990,22,3.4,12,1
584,Mi,Notebook,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,2,Casual,14,1,No,No,54990,59999,8,4.3,545,74
585,ASUS,Core,Intel,Core i7,11th,8,DDR4,256,1024,Windows,32,0,ThinNlight,15.6,0,No,No,82500,98990,16,0,0,0
586,DELL,Inspiron,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,0,No,No,55990,71578,21,3.3,3,0
587,ASUS,VivoBook,Intel,Core i5,11th,8,LPDDR4X,512,0,Windows,64,0,Casual,14,1,Yes,Yes,73990,84990,12,4.2,32,6
588,ASUS,Vivobook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,44890,56999,21,3.9,7,0
591,Lenovo,Yoga,Intel,Core i7,11th,16,DDR4,1024,0,Windows,64,0,Casual,14,1,Yes,Yes,102990,104033,1,4.4,16,2
592,Lenovo,Ideapad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,15.6,0,No,No,39998,60090,33,4.2,10,1
593,HP,Pavilion,Intel,Core i7,11th,16,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,92000,113019,18,4.5,8,1
595,LG,Gram,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,16,0,No,No,86990,130000,33,0,0,0
597,MSI,GF63,Intel,Core i5,10th,8,DDR4,0,1024,Windows,64,4,Casual,15.6,2,No,No,52990,72990,27,4.1,1114,137
598,HP,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,61000,68000,10,4.3,1124,100
600,ASUS,ZenBook,Intel,Core i5,11th,8,LPDDR4X,512,0,Windows,64,0,Casual,14,1,Yes,No,99990,122990,18,4.9,35,6
